Temperature (K),U-isolated_Ce (eV),F-isolated_Ce (eV),S-isolated_Ce (eV/K),U-CFS_SOC_Ce (eV),F-CFS_SOC_Ce (eV),S-CFS_SOC_Ce (eV/K),U-SOC_Ce (eV),F-SOC_Ce (eV),S-SOC_Ce (eV/K)
300.0,0,-0.06822490952160738,0.00022741636507202462,0.0005848174401151549,-0.0359637127012525,0.00012182843380455887,7.384011116425524e-06,-0.046321247180011044,0.00015442877063709157
301.7017017017017,0,-0.06861190433704527,0.00022741636507202462,0.0006005469255149664,-0.03617107276522192,0.00012188071689132762,7.849150128718055e-06,-0.046584040187578765,0.00015443031668337678
303.4034034034034,0,-0.06899889915248314,0.00022741636507202462,0.0006165231629362736,-0.036378522243744923,0.00012193352148226495,8.337873150698167e-06,-0.046846835884682296,0.00015443193198309192
305.1051051051051,0,-0.06938589396792103,0.00022741636507202462,0.0006327466079116117,-0.03658606202057905,0.00012198684324101764,8.8510595701825e-06,-0.04710963439096663,0.00015443361865185787
306.80680680680683,0,-0.06977288878335891,0.00022741636507202462,0.0006492176886410289,-0.03679369297208786,0.0001220406778142517,9.389607613878109e-06,-0.047372435829699355,0.00015443537883156905
308.5085085085085,0,-0.07015988359879678,0.00022741636507202462,0.0006659368068376955,-0.03700141596721448,0.00012209502083477652,9.954434290528906e-06,-0.047635240327814736,0.00015443721468962738
310.2102102102102,0,-0.07054687841423467,0.00022741636507202462,0.0006829043385641882,-0.037209231867460855,0.00012214986792455316,1.054647532203293e-05,-0.04789804801595649,0.00015443912841815827
311.9119119119119,0,-0.07093387322967254,0.00022741636507202462,0.0007001206350587944,-0.03741714152687156,0.0001222052146975881,1.116668506267851e-05,-0.048160859028519104,0.0001544411222332099
313.6136136136136,0,-0.07132086804511042,0.00022741636507202462,0.0007175860235512364,-0.037625145792022786,0.0001222610567627145,1.1816036406661499e-05,-0.04842367350368793,0.0001544431983739371
315.31531531531533,0,-0.07170786286054831,0.00022741636507202462,0.0007353008080672346,-0.03783324550201572,0.0001223173897262631,1.2495520684055615e-05,-0.048686491583477744,0.00015444535910177025
317.017017017017,0,-0.07209485767598617,0.00022741636507202462,0.0007532652702214013,-0.03804144148847454,0.00012237420919462345,1.320614754542051e-05,-0.04894931341376995,0.00015444760669957078
318.7187187187187,0,-0.07248185249142405,0.00022741636507202462,0.0007714796699979854,-0.038249734575548644,0.00012243151077669944,1.3948944835241247e-05,-0.04921213914434838,0.000154449943470774
320.42042042042044,0,-0.07286884730686194,0.00022741636507202462,0.0007899442465190121,-0.038458125579918866,0.00012248929008625882,1.4724958454402302e-05,-0.049474968928933445,0.00015445237173852065
322.1221221221221,0,-0.07325584212229981,0.00022741636507202462,0.0008086592187994523,-0.03866661531080774,0.0001225475427441815,1.553525221191042e-05,-0.04973780292521503,0.00015445489384477787
323.82382382382383,0,-0.0736428369377377,0.00022741636507202462,0.0008276247864890372,-0.03887520456999343,0.0001226062643806058,1.6380907666086276e-05,-0.05000064129488375,0.00015445751214945066
325.52552552552555,0,-0.07402983175317558,0.00022741636507202462,0.0008468411306004028,-0.03908389415182722,0.00012266545063697779,1.726302395545421e-05,-0.05026348420366068,0.00015446022902948497
327.2272272272272,0,-0.07441682656861345,0.00022741636507202462,0.0008663084142232843,-0.03929268484325444,0.00012272509716800315,1.818271761956716e-05,-0.0505263318213256,0.00015446304687796335
328.92892892892894,0,-0.07480382138405134,0.00022741636507202462,0.0008860267832244913,-0.03950157742383867,0.00012278519964350595,1.9141122410009018e-05,-0.05078918432174372,0.0001544659681031941
330.6306306306306,0,-0.07519081619948921,0.00022741636507202462,0.0009059963669334583,-0.03971057266578889,0.00012284575375019565,2.0139389091823622e-05,-0.05105204188289075,0.00015446899512779473
332.3323323323323,0,-0.0755778110149271,0.00022741636507202462,0.0009262172788131713,-0.03991967133398974,0.0001229067551933437,2.1178685235625318e-05,-0.0513149046868765,0.00015447213038777114
334.03403403403405,0,-0.07596480583036498,0.00022741636507202462,0.0009466896171163041,-0.040128874186034495,0.0001229681996983747,2.2260195000650627e-05,-0.05157777291996688,0.00015447537633159295
335.7357357357357,0,-0.07635180064580285,0.00022741636507202462,0.000967413465526442,-0.040338181972260474,0.00012303008301237068,2.3385118909014136e-05,-0.05184064677260429,0.00015447873541926592
337.43743743743744,0,-0.07673879546124074,0.00022741636507202462,0.0009883888937842803,-0.040547595435787336,0.00012309240090549404,2.45546736114385e-05,-0.05210352643942652,0.00015448221012140292
339.13913913913916,0,-0.07712579027667862,0.00022741636507202462,0.0010096159582987127,-0.04075711531255741,0.00012315514917232955,2.5770091644727606e-05,-0.05236641211928394,0.0001544858029182932
340.8408408408408,0,-0.0775127850921165,0.00022741636507202462,0.0010310947027427574,-0.04096674233137827,0.000123218323633148,2.703262118125885e-05,-0.05262930401525521,0.0001544895162989722
342.54254254254255,0,-0.07789977990755437,0.00022741636507202462,0.0010528251586342833,-0.041176477213967624,0.00012328192013509435,2.8343525770770403e-05,-0.05289220233466139,0.00015449335276029145
344.2442442442442,0,-0.07828677472299225,0.00022741636507202462,0.001074807345901527,-0.041386320674999866,0.00012334593455330187,2.9704084074722982e-05,-0.05315510728907839,0.00015449731480599
345.94594594594594,0,-0.07867376953843014,0.00022741636507202462,0.001097041273433406,-0.04159627342215471,0.00012341036279193447,3.111558959351469e-05,-0.05341801909434799,0.0001545014049457684
347.64764764764766,0,-0.07906076435386802,0.00022741636507202462,0.001119526939614649,-0.04180633615616731,0.00012347520078516031,3.2579350386832376e-05,-0.05368093797058711,0.00015450562569436498
