temperature,potential_energy,radius_gyration,end_to_end
0.1,-7.359358815982261,1.2497019525675743,1.8748024497449565
0.1642857142857143,8.651280463271972,1.4797653643876285,2.8343266105050517
0.2285714285714286,24.687913718682683,1.7752434975008828,2.364694336637194
0.2928571428571429,23.490382324424278,2.0041600368273755,3.4237830116700607
0.3571428571428572,26.65232247891013,2.5825687016812653,3.709325789734922
0.4214285714285715,21.733233705197897,3.8835520151132106,7.264397327483346
0.48571428571428577,26.373757984957383,3.457820191527996,10.265298036003355
0.55,25.111574256828067,4.335263899332075,9.48265082984171
0.6142857142857143,25.22196301205382,3.868173881203969,5.674257901481954
0.6785714285714286,24.57694787318399,4.259684544022554,10.256755456116359
0.7428571428571429,23.62704775356468,3.6669699434483984,7.7254984637621895
0.8071428571428572,28.88103541018937,4.510015665938627,12.179479211775783
0.8714285714285716,28.462791691986403,4.307497685814588,7.562450593222065
0.9357142857142858,31.517476119536187,4.151672547525154,11.837179875917888
1.0,31.084189468402414,5.86387199280471,14.562521367449314
