V_f (m^3),Work (J)
0.1,-0.0
0.1002002002002002,-4.986406833466505
0.10040040040040041,-9.958885149595428
0.10060060060060061,-14.917501512466487
0.10080080080080081,-19.86232203640158
0.10100100100100101,-24.79341238988947
0.10120120120120121,-29.71083779946923
0.10140140140140141,-34.61466305357066
0.1016016016016016,-39.504952506316194
0.1018018018018018,-44.38177008128123
0.102002002002002,-49.245179275212934
0.1022022022022022,-54.09524316171219
0.1024024024024024,-58.9320243948765
0.10260260260260261,-63.75558521290221
0.10280280280280281,-68.56598744165137
0.10300300300300301,-73.36329249817985
0.10320320320320321,-78.14756139422792
0.10340340340340341,-82.91885473967652
0.10360360360360361,-87.67723274596457
0.10380380380380382,-92.42275522947344
0.10400400400400402,-97.15548161487374
0.1042042042042042,-101.87547093843955
0.1044044044044044,-106.58278185132627
0.1046046046046046,-111.27747262281616
0.10480480480480481,-115.95960114353048
0.10500500500500501,-120.62922492860628
0.10520520520520521,-125.2864011208436
0.10540540540540541,-129.9311864938179
0.10560560560560561,-134.563637454962
0.10580580580580581,-139.18381004861678
0.10600600600600601,-143.79175995904814
0.10620620620620622,-148.38754251343818
0.10640640640640642,-152.97121268484017
0.10660660660660662,-157.54282509510696
0.10680680680680682,-162.10243401779184
0.10700700700700702,-166.6500933810121
0.10720720720720721,-171.18585677029307
0.10740740740740741,-175.70977743138042
0.10760760760760761,-180.22190827301824
0.10780780780780781,-184.72230186970765
0.10800800800800801,-189.21101046443516
0.10820820820820821,-193.68808597136808
0.10840840840840842,-198.15357997853474
0.10860860860860862,-202.60754375046528
0.10880880880880882,-207.05002823081526
0.10900900900900902,-211.48108404495864
0.10920920920920922,-215.90076150255624
0.10940940940940942,-220.30911060010214
0.10960960960960961,-224.70618102343485
0.10980980980980981,-229.09202215024004
0.11001001001001001,-233.46668305251086
0.11021021021021021,-237.830212498999
0.11041041041041041,-242.18265895763187
0.11061061061061062,-246.52407059790664
0.11081081081081082,-250.8544952932735
0.11101101101101102,-255.17398062347797
0.11121121121121122,-259.4825738768883
0.11141141141141142,-263.78032205280505
0.11161161161161162,-268.0672718637411
0.11181181181181182,-272.34346973768515
0.11201201201201202,-276.6089618203334
0.11221221221221223,-280.86379397731525
0.11241241241241243,-285.10801179638463
0.11261261261261263,-289.341660589594
0.11281281281281282,-293.5647853954514
0.11301301301301302,-297.7774309810512
0.11321321321321322,-301.9796418441887
0.11341341341341342,-306.17146221545227
0.11361361361361362,-310.3529360602933
0.11381381381381382,-314.5241070810849
0.11401401401401402,-318.68501871915265
0.11421421421421422,-322.8357141567881
0.11441441441441443,-326.9762363192437
0.11461461461461463,-331.1066278767154
0.11481481481481483,-335.22693124629023
0.11501501501501503,-339.3371885938941
0.11521521521521522,-343.4374418362119
0.11541541541541542,-347.52773264258616
0.11561561561561562,-351.6081024369073
0.11581581581581582,-355.6785923994788
0.11601601601601602,-359.739243468873
0.11621621621621622,-363.7900963437523
0.11641641641641642,-367.83119148470087
0.11661661661661663,-371.86256911601026
0.11681681681681683,-375.88426922747044
0.11701701701701703,-379.896331576135
0.11721721721721723,-383.8987956880667
0.11741741741741743,-387.8917008600772
0.11761761761761763,-391.87508616143873
0.11781781781781783,-395.8489904355928
0.11801801801801803,-399.8134523018308
0.11821821821821824,-403.7685101569661
0.11841841841841842,-407.7142021769986
0.11861861861861862,-411.6505663187362
0.11881881881881882,-415.57764032144104
0.11901901901901903,-419.495461708433
0.11921921921921923,-423.40406778867634
0.11941941941941943,-427.30349565837724
0.11961961961961963,-431.19378220254316
0.11981981981981983,-435.0749640965347
0.12002002002002003,-438.9470778076137
0.12022022022022023,-442.8101595964522
0.12042042042042043,-446.6642455186659
0.12062062062062062,-450.50937142629675
0.12082082082082082,-454.3455729693006
0.12102102102102102,-458.1728855970257
0.12122122122122123,-461.99134455966396
0.12142142142142143,-465.8009849096994
0.12162162162162163,-469.601841503341
0.12182182182182183,-473.393949001941
0.12202202202202203,-477.1773418734009
0.12222222222222223,-480.95205439357835
0.12242242242242243,-484.7181206476467
0.12262262262262263,-488.4755745314899
0.12282282282282284,-492.2244497530445
0.12302302302302304,-495.96477983364866
0.12322322322322324,-499.69659810939055
0.12342342342342344,-503.4199377324064
0.12362362362362364,-507.1348316722163
0.12382382382382384,-510.84131271700494
0.12402402402402403,-514.5394134749234
0.12422422422422423,-518.2291663753617
0.12442442442442443,-521.910603670211
0.12462462462462463,-525.5837574351249
0.12482482482482483,-529.2486595707601
0.12502502502502505,-532.905341804011
0.12522522522522522,-536.5538356892375
0.12542542542542542,-540.1941726094669
0.12562562562562563,-543.8263837776019
0.12582582582582583,-547.4505002376137
0.12602602602602603,-551.0665528657237
0.12622622622622623,-554.6745723715685
0.12642642642642643,-558.2745892993617
0.12662662662662663,-561.8666340290604
0.12682682682682683,-565.450736777484
0.12702702702702703,-569.02692759946
0.12722722722722724,-572.5952363889456
0.12742742742742744,-576.1556928801353
0.12762762762762764,-579.7083266485638
0.12782782782782784,-583.2531671122091
0.12802802802802804,-586.7902435325668
0.12822822822822824,-590.3195850157265
0.12842842842842844,-593.8412205134437
0.12862862862862864,-597.3551788241971
0.12882882882882885,-600.8614885942305
0.12902902902902905,-604.360178318595
0.12922922922922925,-607.8512763421911
0.12942942942942945,-611.3348108607686
0.12962962962962965,-614.8108099219663
0.12982982982982985,-618.2793014262948
0.13003003003003005,-621.740313128146
0.13023023023023023,-625.1938726367852
0.13043043043043046,-628.6400074173197
0.13063063063063063,-632.0787447916775
0.13083083083083083,-635.5101119395816
0.13103103103103103,-638.9341358994814
0.13123123123123123,-642.3508435695287
0.13143143143143143,-645.7602617085022
0.13163163163163163,-649.1624169367465
0.13183183183183184,-652.5573357370911
0.13203203203203204,-655.9450444557807
0.13223223223223224,-659.3255693033726
0.13243243243243244,-662.6989363556463
0.13263263263263264,-666.0651715544976
0.13283283283283284,-669.4243007088282
0.13303303303303304,-672.7763494954256
0.13323323323323324,-676.1213434598304
0.13343343343343345,-679.4593080172206
0.13363363363363365,-682.7902684532525
0.13383383383383385,-686.114249924926
0.13403403403403405,-689.4312774614168
0.13423423423423425,-692.7413759649382
0.13443443443443445,-696.0445702115524
0.13463463463463465,-699.3408848520014
0.13483483483483485,-702.6303444125294
0.13503503503503506,-705.9129732957035
0.13523523523523526,-709.1887957811971
0.13543543543543546,-712.457836026611
0.13563563563563563,-715.7201180682563
0.13583583583583586,-718.9756658219466
0.13603603603603603,-722.2245030837685
0.13623623623623626,-725.4666535308695
0.13643643643643644,-728.702140722215
0.13663663663663667,-731.9309880993635
0.13683683683683684,-735.1532189872048
0.13703703703703704,-738.3688565947252
0.13723723723723724,-741.5779240157419
0.13743743743743744,-744.780444229659
0.13763763763763764,-747.9764401021716
0.13783783783783785,-751.1659343860173
0.13803803803803805,-754.3489497216831
0.13823823823823825,-757.5255086381385
0.13843843843843845,-760.6956335535166
0.13863863863863865,-763.8593467758465
0.13883883883883885,-767.0166705037367
0.13903903903903905,-770.1676268270774
0.13923923923923925,-773.3122377277168
0.13943943943943946,-776.4505250801583
0.13963963963963966,-779.5825106522302
0.13983983983983986,-782.7082161057524
0.14004004004004006,-785.8276629972129
0.14024024024024026,-788.9408727784356
0.14044044044044046,-792.0478667972118
0.14064064064064066,-795.1486662979814
0.14084084084084086,-798.2432924224612
0.14104104104104104,-801.3317662102938
0.14124124124124127,-804.414108599676
0.14144144144144144,-807.49034042801
0.14164164164164167,-810.5604824325094
0.14184184184184184,-813.6245552508311
0.14204204204204207,-816.6825794216937
0.14224224224224224,-819.7345753854918
0.14244244244244245,-822.7805634848925
0.14264264264264265,-825.82056396546
0.14284284284284285,-828.8545969762328
0.14304304304304305,-831.8826825703366
0.14324324324324325,-834.9048407055598
0.14344344344344345,-837.9210912449475
0.14364364364364365,-840.9314539573845
0.14384384384384385,-843.935948518158
0.14404404404404406,-846.9345945095583
0.14424424424424426,-849.9274114214095
0.14444444444444446,-852.9144186516702
0.14464464464464466,-855.8956355069683
0.14484484484484486,-858.8710812031638
0.14504504504504506,-861.8407748659032
0.14524524524524526,-864.8047355311679
0.14544544544544546,-867.762982145811
0.14564564564564567,-870.7155335680984
0.14584584584584587,-873.6624085682515
0.14604604604604607,-876.6036258289732
0.14624624624624627,-879.5392039459628
0.14644644644644644,-882.4691614284657
0.14664664664664667,-885.3935166997801
0.14684684684684685,-888.3122880977513
0.14704704704704707,-891.2254938753251
0.14724724724724725,-894.1331522010266
0.14744744744744748,-897.0352811594742
0.14764764764764765,-899.9318987518773
0.14784784784784785,-902.8230228965385
0.14804804804804805,-905.7086714293405
0.14824824824824825,-908.5888621042428
0.14844844844844846,-911.4636125937582
0.14864864864864866,-914.3329404894489
0.14884884884884886,-917.1968633024035
0.14904904904904906,-920.0553984636887
0.14924924924924926,-922.9085633248659
0.14944944944944946,-925.7563751584175
0.14964964964964966,-928.5988511582387
