T,hard sphere,square well,lennard jones
212,4.935218096479841e+25,-3.636380689468218e+25,-3.802034056886648e+25
213,4.935218096479841e+25,-3.584191739053476e+25,-3.7596525308306282e+25
214,4.935218096479841e+25,-3.532622611814569e+25,-3.717736624205166e+25
215,4.935218096479841e+25,-3.4816624950985968e+25,-3.6762788703861854e+25
216,4.935218096479841e+25,-3.431300823233447e+25,-3.635271960761142e+25
217,4.935218096479841e+25,-3.381527270587825e+25,-3.5947087405805383e+25
218,4.935218096479841e+25,-3.3323317448620372e+25,-3.5545822049392315e+25
219,4.935218096479841e+25,-3.283704380600533e+25,-3.514885494882845e+25
220,4.935218096479841e+25,-3.2356355329178986e+25,-3.475611893634789e+25
221,4.935218096479841e+25,-3.1881157714301147e+25,-3.436754822939469e+25
222,4.935218096479841e+25,-3.14113587438342e+25,-3.3983078395177142e+25
223,4.935218096479841e+25,-3.0946868229733187e+25,-3.3602646316301953e+25
224,4.935218096479841e+25,-3.048759795846659e+25,-3.3226190157452666e+25
225,4.935218096479841e+25,-3.003346163779985e+25,-3.285364933307334e+25
226,4.935218096479841e+25,-2.9584374845276456e+25,-3.248496447602405e+25
227,4.935218096479841e+25,-2.914025497833435e+25,-3.212007740717329e+25
228,4.935218096479841e+25,-2.8701021205997696e+25,-3.1758931105894886e+25
229,4.935218096479841e+25,-2.826659442208674e+25,-3.1401469681439044e+25
230,4.935218096479841e+25,-2.7836897199890744e+25,-3.104763834514652e+25
231,4.935218096479841e+25,-2.741185374825141e+25,-3.069738338347751e+25
232,4.935218096479841e+25,-2.699138986900595e+25,-3.0350652131827795e+25
233,4.935218096479841e+25,-2.6575432915741798e+25,-3.000739294910507e+25
234,4.935218096479841e+25,-2.6163911753815552e+25,-2.96675551930404e+25
235,4.935218096479841e+25,-2.575675672159234e+25,-2.933108919620937e+25
236,4.935218096479841e+25,-2.5353899592862083e+25,-2.8997946242739916e+25
237,4.935218096479841e+25,-2.4955273540391642e+25,-2.866807854568416e+25
238,4.935218096479841e+25,-2.4560813100573464e+25,-2.8341439225031546e+25
239,4.935218096479841e+25,-2.4170454139132327e+25,-2.801798228634277e+25
240,4.935218096479841e+25,-2.378413381785382e+25,-2.769766259998407e+25
241,4.935218096479841e+25,-2.3401790562299722e+25,-2.7380435880942435e+25
242,4.935218096479841e+25,-2.3023364030476064e+25,-2.7066258669202376e+25
243,4.935218096479841e+25,-2.26487950824219e+25,-2.67550883106667e+25
244,4.935218096479841e+25,-2.2278025750686943e+25,-2.644688293860376e+25
245,4.935218096479841e+25,-2.1910999211669145e+25,-2.61416014556036e+25
246,4.935218096479841e+25,-2.154765975778219e+25,-2.5839203516028037e+25
247,4.935218096479841e+25,-2.118795277042588e+25,-2.5539649508937906e+25
248,4.935218096479841e+25,-2.0831824693732622e+25,-2.524290054148274e+25
249,4.935218096479841e+25,-2.047922300906397e+25,-2.494891842273867e+25
250,4.935218096479841e+25,-2.0130096210232974e+25,-2.465766564798034e+25
251,4.935218096479841e+25,-1.9784393779428195e+25,-2.43691053833731e+25
252,4.935218096479841e+25,-1.9442066163816295e+25,-2.408320145107225e+25
253,4.935218096479841e+25,-1.910306475280173e+25,-2.3799918314718086e+25
254,4.935218096479841e+25,-1.876734185592173e+25,-2.3519221065312587e+25
255,4.935218096479841e+25,-1.8434850681356163e+25,-2.3241075407467726e+25
256,4.935218096479841e+25,-1.810554531503276e+25,-2.2965447646013146e+25
257,4.935218096479841e+25,-1.7779380700308417e+25,-2.269230467295273e+25
258,4.935218096479841e+25,-1.7456312618208533e+25,-2.242161395475921e+25
259,4.935218096479841e+25,-1.7136297668206306e+25,-2.2153343519997067e+25
260,4.935218096479841e+25,-1.681929324952535e+25,-2.1887461947263365e+25
261,4.935218096479841e+25,-1.6505257542948912e+25,-2.1623938353437573e+25
262,4.935218096479841e+25,-1.6194149493119926e+25,-2.1362742382230622e+25
263,4.935218096479841e+25,-1.5885928791316767e+25,-2.110384419302484e+25
264,4.935218096479841e+25,-1.558055585868956e+25,-2.0847214449996003e+25
265,4.935218096479841e+25,-1.5277991829943422e+25,-2.0592824311509223e+25
266,4.935218096479841e+25,-1.4978198537454148e+25,-2.0340645419780384e+25
267,4.935218096479841e+25,-1.4681138495803787e+25,-2.009064989079631e+25
268,4.935218096479841e+25,-1.4386774886722775e+25,-1.984281030448482e+25
269,4.935218096479841e+25,-1.409507154442676e+25,-1.9597099695128685e+25
270,4.935218096479841e+25,-1.380599294133569e+25,-1.935349154201594e+25
271,4.935218096479841e+25,-1.351950417416386e+25,-1.9111959760319377e+25
272,4.935218096479841e+25,-1.323557095037008e+25,-1.8872478692199877e+25
273,4.935218096479841e+25,-1.295415957495664e+25,-1.8635023098125737e+25
274,4.935218096479841e+25,-1.267523693760713e+25,-1.8399568148403104e+25
275,4.935218096479841e+25,-1.2398770500152864e+25,-1.8166089414910796e+25
276,4.935218096479841e+25,-1.2124728284358343e+25,-1.7934562863034539e+25
277,4.935218096479841e+25,-1.1853078860016275e+25,-1.7704964843793906e+25
278,4.935218096479841e+25,-1.1583791333343046e+25,-1.7477272086157805e+25
279,4.935218096479841e+25,-1.1316835335666e+25,-1.7251461689542517e+25
280,4.935218096479841e+25,-1.1052181012394208e+25,-1.702751111648759e+25
281,4.935218096479841e+25,-1.0789799012263854e+25,-1.6805398185504326e+25
282,4.935218096479841e+25,-1.052966047685134e+25,-1.6585101064093022e+25
283,4.935218096479841e+25,-1.0271737030345407e+25,-1.636659826192287e+25
284,4.935218096479841e+25,-1.0016000769571631e+25,-1.6149868624171621e+25
285,4.935218096479841e+25,-9.762424254261733e+24,-1.5934891325019643e+25
286,4.935218096479841e+25,-9.510980497560802e+24,-1.5721645861294897e+25
287,4.935218096479841e+25,-9.261642956765681e+24,-1.5510112046264122e+25
288,4.935218096479841e+25,-9.014385524288352e+24,-1.5300270003566793e+25
289,4.935218096479841e+25,-8.769182518837378e+24,-1.5092100161288291e+25
290,4.935218096479841e+25,-8.52600867681175e+24,-1.4885583246167169e+25
291,4.935218096479841e+25,-8.284839143901423e+24,-1.468070027793536e+25
292,4.935218096479841e+25,-8.045649466888124e+24,-1.4477432563785174e+25
